,Hashtag,Username,Date,Tweet,retweet,Word_count,Key_word_count,Sentiment,RelateHashtag,Followers_count,tweet link
10,#Liverpool,Hylas1962,2022-05-01 22:41:44,ishi today livemusic liverpool,3,10,1,neutral,"['#livemusic', '#liverpool']",524,https://twitter.com/twitter/statuses/1520896281199140867
11,#Liverpool,SportsDias,2022-05-01 22:35:20,west ham coach stuart pearce makes man city admission in liverpool fc title pursuit mancity manchestercity manchestercityfc premierleague premier premierspace epl epls liverpool liverpoolfc,0,70,2,neutral,"['#Mancity', '#ManchesterCity', '#ManchesterCityFC', '#PremierLeague', '#Premier', '#premier', '#EPL', '#epls', '#Liverpool', '#LiverpoolFC']",280,https://twitter.com/twitter/statuses/1520894670603173889
12,#Liverpool,cryptomillionup,2022-05-01 22:30:03,protect your home and your familygood deal on alarms lt click here for moreunited kingdom belfast birmingham blackpool bournemouth brighton bristol cardiff coventry derby edinburgh glasgow hull leeds leicester liverpool london,1,91,1,positive,"['#United', '#Belfast', '#Birmingham', '#Blackpool', '#Bournemouth', '#Brighton', '#Bristol', '#Cardiff', '#Coventry', '#Derby', '#Edinburgh', '#Glasgow', '#Hull', '#Leeds', '#Leicester', '#Liverpool', '#London']",52,https://twitter.com/twitter/statuses/1520893340245544960
13,#Liverpool,LouiseRawAuthor,2022-05-01 22:27:47,lovely to see you and today thanks for coming to resitancestreet liverpool,4,34,1,positive,"['#ResitanceStreet', '#Liverpool']",39193,https://twitter.com/twitter/statuses/1520892766829649921
14,#Liverpool,boabb_JEL,2022-05-01 22:25:44,back in the city of life with me besties soundcity liverpool was boss,1,37,1,neutral,"['#soundcity', '#liverpool']",76,https://twitter.com/twitter/statuses/1520892252935049218
15,#Liverpool,AJHigginson,2022-05-01 22:09:43,this is and you need to get behind him and see and hear him from festival yesterday in liverpool,0,55,1,negative,['#Liverpool'],2797,https://twitter.com/twitter/statuses/1520888220405407744
16,#Liverpool,ambersrk71511,2022-05-01 22:06:43,rlc u8u hope you can keep it collection fyl4q8 liverpoolbr24 96,0,37,0,neutral,['#Liverpool'],0,https://twitter.com/twitter/statuses/1520887468534296576
17,#Liverpool,BillyBagadonuts,2022-05-01 22:00:15,burke cool as hellwish i could be back in liverpool for blondie tomorrow hope its a belter break a stick,0,58,1,positive,"['#Liverpool', '#Blondie']",1360,https://twitter.com/twitter/statuses/1520885841178025988
18,#Liverpool,Liverpool1207,2022-05-01 21:48:11,the duke of wellington was born on 1st may 1769 and on the anniversary of his birth in 1861 the foundation stone for the still standing wellington monument in liverpool would be laid the completed monument was unveiled in 1863,1,119,1,neutral,['#Liverpool'],18590,https://twitter.com/twitter/statuses/1520882803474370560
19,#Liverpool,CCEAMmembers,2022-05-01 21:46:49,join us in liverpool for the 2022 belmas cceam conference july 810 leadership for global citizenshipinformation available,1,49,1,neutral,"['#Liverpool', '#BELMAS', '#CCEAM', '#BELMAS', '#BELMAS']",960,https://twitter.com/twitter/statuses/1520882458073436162
20,#Liverpool,Brewernumberone,2022-05-01 21:42:35,arsenal have now won 20 premier league matches this season only manchester city 26 amp liverpool 25 have more winsbrewernumberone epl arsenal liverpool mancity,1,70,2,positive,"['#Brewernumberone', '#EPL', '#Arsenal', '#Liverpool', '#ManCity']",217,https://twitter.com/twitter/statuses/1520881395090051074
21,#Liverpool,Liverpool1207,2022-05-01 21:27:48,1st may 1852 ss great britain sails from liverpool,2,26,1,positive,['#Liverpool'],18590,https://twitter.com/twitter/statuses/1520877673786093569
22,#Liverpool,FootballBrowni1,2022-05-01 21:27:06,evertons victory over chelsea must have been helped by the early morning fireworks link to video is here via eveche everton chelsea liverpool fireworks premierleague epl,1,76,1,neutral,"['#EveChe', '#Everton', '#Chelsea', '#Liverpool', '#fireworks', '#PremierLeague', '#EPL']",515,https://twitter.com/twitter/statuses/1520877496119570432
23,#Liverpool,gonzfritz1,2022-05-01 21:22:54,any recommendations for coach travel for fa cup final liverpool lfc facupfinal,0,34,1,neutral,"['#Liverpool', '#lfc', '#FACupFinal']",471,https://twitter.com/twitter/statuses/1520876439041675267
24,#Liverpool,droner_alert,2022-05-01 21:21:45,utft check out my ig for more liverpool scousescene lvplfeed dronephotography merseyside scouse scousescene everton evertonfc goodisonpark evertonfcfans footballstadium premierleague soccer soccerstadium coyb liverpoolecho stanleypark,1,73,1,positive,"['#liverpool', '#scousescene', '#lvplfeed', '#dronephotography', '#merseyside', '#scouse', '#scousescene', '#everton', '#evertonfc', '#goodisonpark', '#evertonfcfans', '#footballstadium', '#premierleague', '#soccer', '#soccerstadium', '#coyb', '#liverpoolecho', '#stanleypark']",373,https://twitter.com/twitter/statuses/1520876148892344320
25,#Liverpool,SoccerBeginner1,2022-05-01 21:19:09,here are 3 of the best managers at the moment who is your favouriteclick below to find out oursfootball soccer ancelloti klopp guardiola mancity liverpool trending realmadrid,0,79,1,positive,"['#football', '#soccer', '#ancelloti', '#klopp', '#Guardiola', '#ManCity', '#Liverpool', '#Trending', '#RealMadrid']",0,https://twitter.com/twitter/statuses/1520875497877610498
26,#Liverpool,Obcnn,2022-05-01 21:13:42,evolution liverpool onekiss,1,7,1,neutral,"['#Liverpool', '#onekiss']",102,https://twitter.com/twitter/statuses/1520874124352106497
27,#Liverpool,MattiasArvidss1,2022-05-01 21:09:36,take note especially if youre supporting everton and manchesterunited evertonfc mufc manutd manunited lfc liverpool liverpoolfc ynwa jft97,0,53,1,neutral,"['#Everton', '#ManchesterUnited', '#EvertonFC', '#MUFC', '#ManUtd', '#ManUnited', '#LFC', '#Liverpool', '#LiverpoolFC', '#YNWA', '#JFT']",13371,https://twitter.com/twitter/statuses/1520873093559894018
28,#Liverpool,Supporterslife1,2022-05-01 21:07:16,celtic supporters singing ynwa celtic vs rangers full video celtic rangers celticfc rangersfc oldfirm celran ynwa liverpool forfey feyenoord,2,55,1,positive,"['#Celtic', '#rangers', '#CelticFC', '#RangersFC', '#OldFirm', '#CELRAN', '#YNWA', '#Liverpool', '#forfey', '#Feyenoord']",231,https://twitter.com/twitter/statuses/1520872505363345410
29,#Liverpool,Margare62438440,2022-05-01 21:06:41,ah shame its gone everyman bistro liverpool merseyside hopestreet,0,25,1,neutral,"['#Everyman', '#Bistro', '#Liverpool', '#MERSEYSIDE', '#HopeStreet']",50,https://twitter.com/twitter/statuses/1520872357451243520
30,#Liverpool,trevormurphy78,2022-05-01 21:06:40,liverpool last week with the crew,0,16,1,neutral,['#Liverpool'],789,https://twitter.com/twitter/statuses/1520872353307185152
31,#Liverpool,manopeesho,2022-05-01 21:05:57,last iftar of ramadan 2022 lfc lcc lmsalrahma liverpool ramadankareem monthofgood ramadan2022 recipe recipeoftiktok ramadanrecipe,0,44,1,neutral,"['#LFC', '#LCC', '#LMS', '#Liverpool', '#RamadanKareem', '#MonthofGood', '#Ramadan', '#recipe', '#recipeoftiktok', '#ramadanrecipe']",5,https://twitter.com/twitter/statuses/1520872174508249089
32,#Liverpool,papi_demillie,2022-05-01 21:05:29,next game is against leedsutd at the emiratesstadium while liverpool hosts tottenham damn its a possible chance to put a 5 point gap between us and tottenham i dont see spurs taking any point in the game against liverpoolcoyg arsenal elneny eidmubarak,0,124,1,negative,"['#LeedsUTD', '#EmiratesStadium', '#Liverpool', '#Tottenham', '#COYG', '#ARSENAL', '#elneny', '#EidMubarak']",1195,https://twitter.com/twitter/statuses/1520872058657386496
33,#Liverpool,manopeesho,2022-05-01 21:05:08,last iftar day of ramadan 2022 fyp lfc lcc lmsalrahma liverpool ramadankareem monthofgood ramadan2022 recipe recipeoftiktok ramadanrecipe,0,50,1,neutral,"['#fyp', '#LFC', '#LCC', '#LMS', '#Liverpool', '#RamadanKareem', '#MonthofGood', '#Ramadan', '#recipe', '#recipeoftiktok', '#ramadanrecipe']",5,https://twitter.com/twitter/statuses/1520871969830363138
34,#Liverpool,TheWorksLive,2022-05-01 21:03:20,ring of fire with aldo legends charity event via lfc aldo liverpool ringoffire,0,37,1,neutral,"['#lfc', '#aldo', '#liverpool', '#ringoffire']",184,https://twitter.com/twitter/statuses/1520871513922150400
35,#Liverpool,AdanRodrguez12,2022-05-01 21:00:00,in 1981 my legendary and historical liverpool team won the third championsleague and made its history bigger and in may 28 2022 a new chapter in the true story of the sport of my brutal teamqualitysport qualityfootball realsport firstworld epic,1,118,1,negative,"['#Liverpool', '#ChampionsLeague', '#QUALITYSPORT', '#QUALITYFOOTBALL', '#REALSPORT', '#FIRSTWORLD', '#EPIC']",0,https://twitter.com/twitter/statuses/1520870678983057408
36,#Liverpool,dodleee6doo,2022-05-01 20:57:44,as it should be arabic mosalah mosalah ynwa anfield liverpool poty fifa thebest ballondor mohamedsalah playeroftheyear onlymosalahthe egyptian kingbest player in the world,0,67,1,positive,"['#MoSalah', '#MoSalah', '#YNWA', '#Anfield', '#Liverpool', '#POTY', '#FIFA', '#TheBest', '#BallonDor', '#Mohamed', '#PlayerOfTheYear', '#Only']",1041,https://twitter.com/twitter/statuses/1520870105613225986
37,#Liverpool,lfci5haq,2022-05-01 20:56:57,score predictions lfc liverpool,0,10,1,neutral,"['#lfc', '#liverpool']",3,https://twitter.com/twitter/statuses/1520869909063999488
38,#Liverpool,stuARTcrowther,2022-05-01 20:56:20,just one of our six yes six fabulous new shows coming to this very month give em a follow theatre liverpool lipafutureproof,2,64,1,positive,"['#theatre', '#liverpool', '#LIPAFutureProof']",1636,https://twitter.com/twitter/statuses/1520869753371471873
39,#Liverpool,MoshehSamson,2022-05-01 20:54:40,the 290422 afq might have been the best one yet really fun listen theanfieldwrap taw lfc liverpoolfc liverpool podcast papuanewguineapigs,0,58,1,positive,"['#TheAnfieldWrap', '#TAW', '#LFC', '#LiverpoolFC', '#Liverpool', '#podcast', '#PapuaNewGuineaPigs']",16,https://twitter.com/twitter/statuses/1520869333114953728
40,#Liverpool,cryptomillionup,2022-05-01 20:51:13,protect your home and your familygood deal on alarms lt click here for moreunited kingdom belfast birmingham blackpool bournemouth brighton bristol cardiff coventry derby edinburgh glasgow hull leeds leicester liverpool london,0,91,1,positive,"['#United', '#Belfast', '#Birmingham', '#Blackpool', '#Bournemouth', '#Brighton', '#Bristol', '#Cardiff', '#Coventry', '#Derby', '#Edinburgh', '#Glasgow', '#Hull', '#Leeds', '#Leicester', '#Liverpool', '#London']",52,https://twitter.com/twitter/statuses/1520868468081545220
41,#Liverpool,dodleee6doo,2022-05-01 20:50:12,as it should be arabic mosalah mosalahynwa anfield liverpool poty fifa thebest ballondor mohamedsalah playeroftheyear onlymosalahthe egyptian kingbest player in the world,0,64,1,positive,"['#MoSalah', '#MoSalah', '#YNWA', '#Anfield', '#Liverpool', '#POTY', '#FIFA', '#TheBest', '#BallonDor', '#Mohamed', '#PlayerOfTheYear', '#Only']",1041,https://twitter.com/twitter/statuses/1520868210324787207
42,#Liverpool,musicmafiauk,2022-05-01 20:48:07,just divine from matt maltese right now in the loft liverpool music festival soundcity,0,40,1,positive,"['#Liverpool', '#music', '#festival', '#soundcity']",1623,https://twitter.com/twitter/statuses/1520867687680942083
43,#Liverpool,AdoptionsUk,2022-05-01 20:40:09,please retweet to help zebedee find a home liverpool england spaniel cross aged 5 looking for an experienced adult home as the only pet please read the full detailsdetails or applyspaniel dogs pets,163,97,1,positive,"['#LIVERPOOL', '#ENGLAND', '#Spaniel', '#dogs', '#pets']",57763,https://twitter.com/twitter/statuses/1520865682728132610
44,#Liverpool,Mortgage_Shop,2022-05-01 20:39:30,top buytolet areas manchester cardiff leeds liverpool walsall newcastle shefield glasgow birmingham sunderland,0,37,1,positive,"['#buytolet', '#Manchester', '#Cardiff', '#Leeds', '#Liverpool', '#Walsall', '#Newcastle', '#Shefield', '#Glasgow', '#Birmingham', '#Sunderland']",1994,https://twitter.com/twitter/statuses/1520865517959094273
45,#Liverpool,LiverpoolLiveRD,2022-05-01 20:38:34,join from 10pm heres what he has in store for you tonight liverpool radio,1,41,1,neutral,"['#Liverpool', '#radio']",2494,https://twitter.com/twitter/statuses/1520865284315299840
46,#Liverpool,DavidMaynard32,2022-05-01 20:33:07,to agree with a post ive just read liverpool please beat spurs next weekend and as a reward arsenal will help relegate everton on the final day of the season well also do our best to bring leeds into the relegation mix just to give the toffees hope until the final day,1,154,1,positive,"['#Liverpool', '#Spurs', '#Arsenal', '#Everton', '#Leeds']",113,https://twitter.com/twitter/statuses/1520863911121235968
47,#Liverpool,joeykidd_1983,2022-05-01 20:29:58,podcast out now click link to go write to it dont forget to like subscribe and comment comedy podcast funny gidle labourday money 1stmay foryou bkb liverpool comedyvideo love art,0,89,1,positive,"['#comedy', '#podcast', '#funny', '#GIDLE', '#LabourDay', '#Money', '#foryou', '#bkb', '#liverpool', '#comedyvideo', '#love', '#art']",470,https://twitter.com/twitter/statuses/1520863118569660417
48,#Liverpool,joeykidd_1983,2022-05-01 20:29:56,podcast out now click link to go write to it dont forget to like subscribe and comment comedy podcast funny gidle labourday money 1stmay foryou bkb liverpool comedyvideo love art,0,89,1,positive,"['#comedy', '#podcast', '#funny', '#GIDLE', '#LabourDay', '#Money', '#foryou', '#bkb', '#liverpool', '#comedyvideo', '#love', '#art']",470,https://twitter.com/twitter/statuses/1520863110793465858
49,#Liverpool,joeykidd_1983,2022-05-01 20:29:12,podcast out now click link to go write to it dont forget to like subscribe and comment comedy podcast funny gidle labourday money 1stmay foryou bkb liverpool comedyvideo love art,0,89,1,positive,"['#comedy', '#podcast', '#funny', '#GIDLE', '#LabourDay', '#Money', '#foryou', '#bkb', '#liverpool', '#comedyvideo', '#love', '#art']",470,https://twitter.com/twitter/statuses/1520862927556947970
50,#Liverpool,peteaylward,2022-05-01 20:26:17,rode into liverpool and took in some symmetrical landmarks cycling,1,28,1,neutral,"['#Liverpool', '#cycling']",686,https://twitter.com/twitter/statuses/1520862194099007488
51,#Liverpool,lpoolmarket,2022-05-01 20:20:57,an early opportunity for your business to be on liverpools only online marketdont let a good thing pass you byvisit and setupastallliverpool liverpoolbusiness,0,67,0,positive,"['#SetupAStall', '#Liverpool', '#Liverpoolbusiness']",46,https://twitter.com/twitter/statuses/1520860848511672321
52,#Liverpool,musicmafiauk,2022-05-01 20:17:23,the sublime shattering all perceptions at liverpool festival music soundcity,2,28,1,neutral,"['#Liverpool', '#festival', '#music', '#soundcity']",1623,https://twitter.com/twitter/statuses/1520859951144579077
53,#Liverpool,MeerHummal1,2022-05-01 20:16:43,which four liverpool players you will pick for a futsal teamlfc liverpoolfc liverpool futsal,0,40,2,neutral,"['#LFC', '#LiverpoolFC', '#Liverpool', '#Futsal']",44,https://twitter.com/twitter/statuses/1520859782592311296
54,#Liverpool,clubscooterlogo,2022-05-01 20:13:51,liverpool fc gift ideastshirts most sizes styles amp background colours for all ages iphone case models 813 available all other productsliverpoolfc liverpool ynwa buyintoart,5,70,2,positive,"['#LiverpoolFC', '#Liverpool', '#YNWA', '#BuyIntoArt']",1347,https://twitter.com/twitter/statuses/1520859065198514176
55,#Liverpool,eppy888,2022-05-01 20:10:21,milli milli dont be silly sign the contract and stay with us in milli we trust fantastic player and a fantastic motivator for the lads ynwa ynwa liverpool,0,82,1,neutral,"['#YNWA', '#liverpool']",52,https://twitter.com/twitter/statuses/1520858181999763459
56,#Liverpool,super_jon,2022-05-01 20:07:31,massive win as beat in what is swiftly becoming a great season everton chelseafc blue toffees premierleague flare flares fans support passion jonsuperphotography liverpool sonyalpha sonya9ii,0,78,1,positive,"['#everton', '#chelseafc', '#blue', '#toffees', '#premierleague', '#flare', '#flares', '#fans', '#support', '#passion', '#jonsuperphotography', '#liverpool', '#sonyalpha', '#sonya']",342,https://twitter.com/twitter/statuses/1520857471346167814
57,#Liverpool,TRACYBEADLES,2022-05-01 20:02:12,ive been following this story from the beginning the family will appreciate you highlighting their plight to find the truth noahsarmy liverpool,1,64,1,neutral,"['#NoahsArmy', '#Liverpool']",476,https://twitter.com/twitter/statuses/1520856130548862977
58,#Liverpool,HousePartyRadio,2022-05-01 20:01:25,onair old skool anthems webmobilealexa old skool anthems liverpool ukbigtunes anthems share like liverpool housemusic housepartyradio live,0,49,2,positive,"['#OnAir', '#old', '#skool', '#anthems', '#liverpool', '#uk', '#bigtunes', '#anthems', '#share', '#like', '#liverpool', '#housemusic', '#housepartyradio', '#live']",144,https://twitter.com/twitter/statuses/1520855934171594756
59,#Liverpool,shubhrayankoner,2022-05-01 19:57:10,what do you say quadruple coming ucl semi 2nd leg prediction lfc liverpool liverpoolfc,0,41,1,neutral,"['#LFC', '#Liverpool', '#LiverpoolFC']",4,https://twitter.com/twitter/statuses/1520854863126708224
60,#Liverpool,FMTopManager,2022-05-01 19:56:20,over the past 48 hours more games have been played in the fmtm super cupfriday evening we saw amp realmadrid get through narrowly amp benfica win 71 in the 2nd legsays amp liverpool dominate in their round one tie,3,116,1,positive,"['#FMTM', '#RealMadrid', '#Benfica', '#Liverpool']",316,https://twitter.com/twitter/statuses/1520854653986119680
61,#Liverpool,TheKitmanUK,2022-05-01 19:53:53,checkout this 201213 liverpool home shirt msee more details at 201213 lfc liverpool liverpoolfc warrior thekitman,1,46,2,positive,"['#LFC', '#Liverpool', '#LiverpoolFC', '#Warrior', '#TheKitman']",11305,https://twitter.com/twitter/statuses/1520854037532266496
62,#Liverpool,Liverpool1207,2022-05-01 19:53:13,liverpool otd 1840 joseph williamson the king of edge hill dies aged 71 he was buried with his wife and her family in the tate family vault at the graveyard of st thomas park lane the burial was uncovered by the volunteers of in 2006,4,133,1,neutral,['#Liverpool'],18590,https://twitter.com/twitter/statuses/1520853870230089730
63,#Liverpool,musicmafiauk,2022-05-01 19:43:44,we forgot who did an amazing set at festival music liverpool,2,31,1,neutral,"['#Festival', '#music', '#Liverpool']",1623,https://twitter.com/twitter/statuses/1520851485076111360
64,#Liverpool,Beatricecbns941,2022-05-01 19:39:35,fpc xxg youve got surprise 5llhta liverpool,0,20,1,neutral,['#Liverpool'],0,https://twitter.com/twitter/statuses/1520850438584934400
65,#Liverpool,MissDonnaCooke,2022-05-01 19:37:22,out out again liverpool,0,10,1,neutral,['#Liverpool'],691,https://twitter.com/twitter/statuses/1520849880377348096
66,#Liverpool,BorderUkrainian,2022-05-01 19:35:17,he looks like theyve got something against somewhere near you liverpool or manchester maybe putler hates the beatles or,0,55,1,negative,"['#Liverpool', '#Manchester', '#putler', '#Beatles']",427,https://twitter.com/twitter/statuses/1520849357637095426
67,#Liverpool,Bookworm_SueC,2022-05-01 19:35:08,liverpool it looks glorious against the skyline,1,19,1,neutral,['#Liverpool'],182,https://twitter.com/twitter/statuses/1520849318453944320
68,#Liverpool,sionlfc,2022-05-01 19:34:31,we were there that day we bought photos from the daily post liverpool liverpool,0,40,2,neutral,['#Liverpool'],267,https://twitter.com/twitter/statuses/1520849166133600258
69,#Liverpool,sthomasphotos,2022-05-01 19:33:11,photo gallery at bees boyslax fr 4262022 in boys section3lacrosse baldwinsville liverpool newyork sports photography,1,45,1,neutral,"['#boys', '#section', '#baldwinsville', '#liverpool', '#newyork', '#sports', '#photography']",1462,https://twitter.com/twitter/statuses/1520848826948595714
70,#Liverpool,Liverpool1207,2022-05-01 19:32:16,on 1st may 1821 the worton hardie walker amp smythe bank would open on castle street liverpoolthey would soon be embroiled in a case of fraud,0,77,0,neutral,['#Liverpool'],18590,https://twitter.com/twitter/statuses/1520848599487234053
71,#Liverpool,musicmafiauk,2022-05-01 19:28:59,the next big thing smashing to bits liverpool music festival soundcity,1,31,1,neutral,"['#Liverpool', '#music', '#festival', '#soundcity']",1623,https://twitter.com/twitter/statuses/1520847770130829312
72,#Liverpool,BolaPanas5,2022-05-01 19:27:44,hotballcity or liverpool mancity manchestercity liverpool,0,16,2,neutral,"['#ManCity', '#ManchesterCity', '#Liverpool']",0,https://twitter.com/twitter/statuses/1520847458422894592
73,#Liverpool,PhotoTjv,2022-05-01 19:26:00,celebrating steamalbert dock liverpool merseyside july 2018a photo from an old shoot at liverpools steam festival 2018photography streetphotography eventphotography steamengines steamrollers parade liverpoolsteamfestival albertdock liverpool merseyside,1,78,2,positive,"['#photography', '#streetphotography', '#eventphotography', '#steamengines', '#steamrollers', '#parade', '#LiverpoolSteamFestival', '#AlbertDock', '#Liverpool', '#Merseyside']",49,https://twitter.com/twitter/statuses/1520847021162344448
74,#Liverpool,MadeinKendal,2022-05-01 19:20:16,fun times making a return to soundcity yesterday great headline set from artsclub liverpool,0,40,1,positive,"['#SoundCity', '#ArtsClub', '#Liverpool']",967,https://twitter.com/twitter/statuses/1520845580255248385
75,#Liverpool,Liverpool1207,2022-05-01 19:17:35,the foundation stone for the new corn exchange brunswickfenswick st liverpool was laid on 1st may 1851 opened 185354 sadly destroyed in the blitz and replaced by the current building,1,89,1,negative,['#Liverpool'],18590,https://twitter.com/twitter/statuses/1520844901092667394
76,#Liverpool,e_architect,2022-05-01 19:15:01,the old library liverpool building design by omi architects a much loved community assetlibrary liverpool building architects buildingrestoration,0,52,2,positive,"['#library', '#Liverpool', '#building', '#architects', '#BuildingRestoration']",146116,https://twitter.com/twitter/statuses/1520844258693074949
77,#Liverpool,NeverAFoul,2022-05-01 19:03:13,points mean prices live show now here join our hosts amp the voice of talking this weekends talking points with liverpool manutd palace4jords spursdi arsenal,10,75,1,negative,"['#Liverpool', '#ManUtd', '#Palace', '#Spurs', '#Arsenal']",4486,https://twitter.com/twitter/statuses/1520841287162859522
78,#Liverpool,Linzipinno,2022-05-01 19:03:06,albies new video please like share and subscribe liverpool lime street station review 2022 via liverpool train trains,0,52,2,positive,"['#liverpool', '#train', '#trains']",115,https://twitter.com/twitter/statuses/1520841258289315841
79,#Liverpool,soliv21,2022-05-01 19:02:12,cant wait to get the prizes out to our lucky winnersstandoutwithsoliv organic renewableenergy ecofriendly ethical environmentallyfriendly nonprofit ukmade lfc liverpoolfc liverpoolfootballclub liverpool liverpoolcity football footballclothes localcharities,2,76,1,neutral,"['#standoutwithsoliv', '#organic', '#renewableenergy', '#ecofriendly', '#ethical', '#environmentallyfriendly', '#nonprofit', '#ukmade', '#lfc', '#liverpoolfc', '#liverpoolfootballclub', '#liverpool', '#liverpoolcity', '#football', '#footballclothes', '#localcharities']",104,https://twitter.com/twitter/statuses/1520841033638100992
80,#Liverpool,timber_jacks,2022-05-01 19:00:08,venue vibes hope everyone has enjoyed throwing with us this weekend shrewsbury kidderminster leeds liverpool axethrowing venues timberjacks,0,52,1,positive,"['#Shrewsbury', '#Kidderminster', '#Leeds', '#Liverpool', '#AxeThrowing', '#Venues', '#TimberJacks']",136,https://twitter.com/twitter/statuses/1520840511640190979
81,#Liverpool,19MW98,2022-05-01 18:59:56,been waiting to hear john mc speak mayday2022 liverpool,2,26,1,neutral,"['#MayDay', '#Liverpool']",4915,https://twitter.com/twitter/statuses/1520840462445207554
82,#Liverpool,exSASChrisRyan,2022-05-01 18:52:20,first bookshop event in 2 years covid if you are wirral based liverpool or chester see you there for books thriller outcast saswhodareswins 19th may 2022,3,77,1,negative,"['#Liverpool', '#Chester', '#books', '#thriller', '#outcast', '#SASWhoDaresWins']",35534,https://twitter.com/twitter/statuses/1520838546864676866
83,#Liverpool,BulaThe1andOnly,2022-05-01 18:50:04,the fountains mingle with the riveramp the rivers with the oceanthe winds of heaven mix for everwith a sweet emotionnothing in the world is singleall things by law divinein one spirit meet amp minglewhy not i with thinewater street liverpool,0,118,1,positive,['#Liverpool'],1641,https://twitter.com/twitter/statuses/1520837978041376771
